id_dep,inicio,fin,es_final,sedes
3,14,16.15,0,TECNO
3,18,21,0,TECNO
4,16.3,18,0,URBAN
5,9,14,0,URBAN
6,9,16.5,0,GREEN
10,10,10.2,0,URBAN
10,12,13.15,0,URBAN
10,16,16.4,1,URBAN
11,9.3,15.05,1,YOP
12,14,22,0,TECNO
13,14,16.5,0,YOP
13,19,22.1,1,YOP
14,8.3,17,0,SAV
16,9.3,18.3,0,YOP
17,10,13.15,0,YOP
17,15,16.3,1,YOP
20,10,11.3,0,YOP
20,18,19.4,1,YOP
22,14.45,17.25,1,URBAN
24,14,17,0,YOP
24,19,21,1,YOP
25,10,18,0,GREEN
26,10,13,0,TECNO
26,16,19.3,1,TECNO
27,9,12.15,0,TECNO
27,13.15,15.3,0,TECNO
29,12,18,0,SAV
30,10,13.2,0,TECNO
